Martha's Vineyard Airport,New Bedford Regional Airport,1,962
Seattle Tacoma International Airport,Snohomish County (Paine Field) Airport,1,360
Grissom ARB Airport,Chicago O'Hare International Airport,1,1260
Dallas Fort Worth International Airport,Springfield Branson National Airport,1,1436
James M Cox Dayton International Airport,Philadelphia International Airport,1,787
Oakland County International Airport,Teterboro Airport,1,90
Olympia Regional Airport,Van Nuys Airport,1,111
Reno Tahoe International Airport,Salt Lake City International Airport,1,306
Van Nuys Airport,Bob Hope Airport,1,231
Bradley International Airport,Portland International Jetport Airport,1,126
Philadelphia International Airport,Watertown International Airport,1,36
Fort Lauderdale Hollywood International Airport,Bradley International Airport,1,6
McGhee Tyson Airport,Hartsfield Jackson Atlanta International Airport,1,156
Akron Fulton International Airport,Lehigh Valley International Airport,1,6
Ithaca Tompkins Regional Airport,Republic Airport,1,36
Monterey Peninsula Airport,Sacramento International Airport,1,6
Los Angeles International Airport,Stockton Metropolitan Airport,1,126
Mc Clellan-Palomar Airport,Los Angeles International Airport,1,1
San Francisco International Airport,Sacramento International Airport,1,17
Teterboro Airport,Bradley International Airport,1,12
Aspen-Pitkin Co/Sardy Field,Los Angeles International Airport,1,6
Burlington International Airport,Bangor International Airport,1,90
San Francisco International Airport,Mc Clellan-Palomar Airport,1,66
Santa Monica Municipal Airport,McCarran International Airport,1,66
Westchester County Airport,Atlantic City International Airport,1,6
Burke Lakefront Airport,Charlottesville Albemarle Airport,1,9
Port Columbus International Airport,Teterboro Airport,1,126
Mobile Regional Airport,Tampa International Airport,1,102
Chicago Midway International Airport,Kalamazoo Battle Creek International Airport,1,54
Santa Monica Municipal Airport,Norman Y. Mineta San Jose International Airport,1,126
Metropolitan Oakland International Airport,Will Rogers World Airport,1,30
Philadelphia International Airport,Norfolk International Airport,1,0
Theodore Francis Green State Airport,Stewart International Airport,1,66
Chatham Municipal Airport,Theodore Francis Green State Airport,1,23
Fitchburg Municipal Airport,Baltimore/Washington International Thurgood Marshal Airport,1,36
Reno Tahoe International Airport,Monterey Peninsula Airport,1,6
Bob Hope Airport,San Francisco International Airport,1,246
John F Kennedy International Airport,Sloulin Field International Airport,1,216
Boeing Field King County International Airport,Portland International Airport,1,156
Norman Y. Mineta San Jose International Airport,Santa Monica Municipal Airport,1,81
McCarran International Airport,Los Angeles International Airport,1,6
George Bush Intercontinental Houston Airport,Dallas Love Field,1,36
Santa Monica Municipal Airport,John Wayne Airport-Orange County Airport,1,156
Republic Airport,Laconia Municipal Airport,1,36
Chicago Executive Airport,Myrtle Beach International Airport,1,6
Norman Y. Mineta San Jose International Airport,Sloulin Field International Airport,1,70
Sacramento International Airport,Norman Y. Mineta San Jose International Airport,1,6
Washington Dulles International Airport,Charlotte Douglas International Airport,1,36
Westchester County Airport,Martha's Vineyard Airport,1,6
Chicago O'Hare International Airport,Chicago Midway International Airport,1,6
Metropolitan Oakland International Airport,Santa Monica Municipal Airport,1,36
Westchester County Airport,Worcester Regional Airport,1,6
DuBois Regional Airport,Cleveland Hopkins International Airport,1,95
Missoula International Airport,Billings Logan International Airport,1,295
Helena Regional Airport,Billings Logan International Airport,1,3
Gallatin Field,Billings Logan International Airport,1,8
Great Falls International Airport,Billings Logan International Airport,1,7
Billings Logan International Airport,Missoula International Airport,1,220
Bert Mooney Airport,Billings Logan International Airport,1,354
Great Falls International Airport,Billings Logan International Airport,1,312
Billings Logan International Airport,Missoula International Airport,1,310
L M Clayton Airport,Billings Logan International Airport,1,220
Joe Foss Field Airport,Rapid City Regional Airport,1,235
Grand Forks International Airport,Bismarck Municipal Airport,1,104
Grand Forks International Airport,Bismarck Municipal Airport,1,103
General Edward Lawrence Logan International Airport,Louisville International Standiford Field,1,143
General Edward Lawrence Logan International Airport,Philadelphia International Airport,1,155
Manchester Airport,Philadelphia International Airport,1,186
Manchester Airport,Louisville International Standiford Field,1,94
Bradley International Airport,Louisville International Standiford Field,1,120
Newark Liberty International Airport,Chicago Rockford International Airport,1,169
Newark Liberty International Airport,Louisville International Standiford Field,1,197
Newark Liberty International Airport,Louisville International Standiford Field,1,160
John F Kennedy International Airport,Louisville International Standiford Field,1,196
Bradley International Airport,Philadelphia International Airport,1,124
Albany International Airport,Bradley International Airport,1,46
John F Kennedy International Airport,Chicago Rockford International Airport,1,163
Buffalo Niagara International Airport,Philadelphia International Airport,1,219
Syracuse Hancock International Airport,Buffalo Niagara International Airport,1,132
Syracuse Hancock International Airport,Philadelphia International Airport,1,164
Buffalo Niagara International Airport,Louisville International Standiford Field,1,208
Pittsburgh International Airport,Louisville International Standiford Field,1,132
Pittsburgh International Airport,Philadelphia International Airport,1,150
Harrisburg International Airport,Louisville International Standiford Field,1,136
Philadelphia International Airport,Louisville International Standiford Field,1,140
Philadelphia International Airport,Chicago Rockford International Airport,1,165
Baltimore/Washington International Thurgood Marshal Airport,Louisville International Standiford Field,1,162
Washington Dulles International Airport,Louisville International Standiford Field,1,183
Richmond International Airport,Louisville International Standiford Field,1,145
Richmond International Airport,Philadelphia International Airport,1,158
Norfolk International Airport,Richmond International Airport,1,78
Piedmont Triad International Airport,Louisville International Standiford Field,1,229
Roanoke Regional Woodrum Field,Piedmont Triad International Airport,1,152
Raleigh Durham International Airport,Louisville International Standiford Field,1,139
Charlotte Douglas International Airport,Louisville International Standiford Field,1,159
Columbia Metropolitan Airport,Louisville International Standiford Field,1,141
Greenville Spartanburg International Airport,Louisville International Standiford Field,1,209
Hartsfield Jackson Atlanta International Airport,Louisville International Standiford Field,1,185
Hartsfield Jackson Atlanta International Airport,Louisville International Standiford Field,1,207
Hartsfield Jackson Atlanta International Airport,Louisville International Standiford Field,1,131
Hartsfield Jackson Atlanta International Airport,Philadelphia International Airport,1,172
Jacksonville International Airport,Louisville International Standiford Field,1,130
Orlando International Airport,Louisville International Standiford Field,1,141
Miami International Airport,Louisville International Standiford Field,1,145
Palm Beach International Airport,Louisville International Standiford Field,1,124
St Petersburg Clearwater International Airport,Louisville International Standiford Field,1,106
Huntsville International Carl T Jones Field,Louisville International Standiford Field,1,229
Southwest Florida International Airport,Huntsville International Carl T Jones Field,1,81
Fort Lauderdale Hollywood International Airport,Louisville International Standiford Field,1,170
Birmingham-Shuttlesworth International Airport,Louisville International Standiford Field,1,200
Southwest Georgia Regional Airport,Louisville International Standiford Field,1,220
Pensacola Regional Airport,Southwest Georgia Regional Airport,1,134
McGhee Tyson Airport,Louisville International Standiford Field,1,180
Memphis International Airport,Louisville International Standiford Field,1,156
Memphis International Airport,Louisville International Standiford Field,1,206
Jackson Evers International Airport,Louisville International Standiford Field,1,191
Cleveland Hopkins International Airport,Louisville International Standiford Field,1,163
South Bend Regional Airport,Fort Wayne International Airport,1,116
Capital City Airport,Rickenbacker International Airport,1,135
Detroit Metropolitan Wayne County Airport,Louisville International Standiford Field,1,164
Detroit Metropolitan Wayne County Airport,Chicago Rockford International Airport,1,149
Albuquerque International Sunport Airport,Phoenix Sky Harbor International Airport,1,42
Spokane International Airport,Portland International Airport,1,80
Austin Bergstrom International Airport,Louisville International Standiford Field,1,177
Joe Foss Field Airport,Louisville International Standiford Field,1,189
Des Moines International Airport,Louisville International Standiford Field,1,188
The Eastern Iowa Airport,Louisville International Standiford Field,1,224
General Mitchell International Airport,Louisville International Standiford Field,1,189
Minneapolis-St Paul International/Wold-Chamberlain Airport,Chicago Rockford International Airport,1,203
Minneapolis-St Paul International/Wold-Chamberlain Airport,Philadelphia International Airport,1,162
Minneapolis-St Paul International/Wold-Chamberlain Airport,Louisville International Standiford Field,1,185
Denver International Airport,Ontario International Airport,1,255
Billings Logan International Airport,Denver International Airport,1,106
Chicago O'Hare International Airport,Louisville International Standiford Field,1,189
Chicago O'Hare International Airport,Louisville International Standiford Field,1,237
Chicago O'Hare International Airport,Philadelphia International Airport,1,200
Chicago O'Hare International Airport,Louisville International Standiford Field,1,219
Greater Peoria Regional Airport,Louisville International Standiford Field,1,243
Chicago Rockford International Airport,Greater Peoria Regional Airport,1,162
Lambert St Louis International Airport,Louisville International Standiford Field,1,222
Kansas City International Airport,Louisville International Standiford Field,1,186
Springfield Branson National Airport,Louisville International Standiford Field,1,243
Wichita Mid Continent Airport,Springfield Branson National Airport,1,157
Eppley Airfield,Louisville International Standiford Field,1,191
Louis Armstrong New Orleans International Airport,Louisville International Standiford Field,1,141
Lafayette Regional Airport,Louisville International Standiford Field,1,175
Memphis International Airport,Louisville International Standiford Field,1,249
Shreveport Regional Airport,Memphis International Airport,1,143
Adams Field,Louisville International Standiford Field,1,223
Will Rogers World Airport,Adams Field,1,139
Tulsa International Airport,Louisville International Standiford Field,1,183
Dallas Fort Worth International Airport,Louisville International Standiford Field,1,160
Dallas Fort Worth International Airport,Chicago Rockford International Airport,1,194
Dallas Fort Worth International Airport,Louisville International Standiford Field,1,185
George Bush Intercontinental Houston Airport,Louisville International Standiford Field,1,206
George Bush Intercontinental Houston Airport,Chicago Rockford International Airport,1,214
Dallas Fort Worth International Airport,Louisville International Standiford Field,1,207
Laredo International Airport,Dallas Fort Worth International Airport,1,76
San Antonio International Airport,Louisville International Standiford Field,1,189
Mc Allen Miller International Airport,Louisville International Standiford Field,1,163
Albuquerque International Sunport Airport,Louisville International Standiford Field,1,204
