id,departure_airport_icao_code,arrival_airport_icao_code,scheduled_runway_departure,actual_runway_departure,scheduled_runway_arrival,actual_runway_arrival,idif_actual_runway_departure,idif_actual_runway_arrival
306293642,KSUU,KMCC,2013-08-16 00:55:00,2013-08-15 23:32:00,2013-08-16 01:05:00,2013-08-15 23:47:00,0,15
306290201,KRHI,KMKE,2013-08-16 00:01:00,2013-08-15 23:35:00,2013-08-16 01:09:00,2013-08-16 00:38:00,3,66
306290133,KJHW,KBUF,2013-08-16 00:09:00,2013-08-15 23:35:00,2013-08-16 00:33:00,2013-08-15 23:59:00,3,27
306288274,KEUG,KPDX,2013-08-16 00:45:00,2013-08-15 23:40:00,2013-08-16 01:19:00,2013-08-16 00:13:00,8,41
306288120,KRDM,KPDX,2013-08-16 00:20:00,2013-08-15 23:43:00,2013-08-16 01:10:00,2013-08-16 00:24:00,11,52
306386666,KMWH,KBFI,2013-08-16 00:00:00,2013-08-15 23:46:00,2013-08-16 00:40:00,2013-08-16 00:30:00,14,58
306064121,KPNS,KDFW,2013-08-16 00:05:00,2013-08-15 23:46:00,2013-08-16 02:00:00,2013-08-16 01:20:00,14,108
306034438,KIND,KDEN,2013-08-16 00:01:00,2013-08-15 23:47:00,2013-08-16 02:16:00,2013-08-16 02:12:00,15,160
306054413,KMYR,KCLT,2013-08-16 00:00:00,2013-08-15 23:47:00,2013-08-16 00:34:00,2013-08-16 00:15:00,15,43
306067267,KRST,KORD,2013-08-16 00:02:00,2013-08-15 23:47:00,2013-08-16 01:15:00,2013-08-16 00:32:00,15,60
306290406,KPIR,KFSD,2013-08-16 00:25:00,2013-08-15 23:48:00,2013-08-16 01:31:00,2013-08-16 00:51:00,16,79
306033457,KIAH,KTYR,2013-08-16 00:05:00,2013-08-15 23:49:00,2013-08-16 00:36:00,2013-08-16 00:27:00,17,55
306386483,KBJI,KGFK,2013-08-16 00:02:00,2013-08-15 23:50:00,2013-08-16 00:47:00,2013-08-16 00:26:00,18,54
306053374,KMSY,KSFO,2013-08-16 00:01:00,2013-08-15 23:50:00,2013-08-16 04:09:00,2013-08-16 04:01:00,18,269
306058908,KORD,KSTL,2013-08-16 00:05:00,2013-08-15 23:50:00,2013-08-16 01:01:00,2013-08-16 00:32:00,18,60
