Aerial Time,Ground Holding
140,0
29,0
382,0
55,0
240,0
153,0
139,0
81,0
53,0
50,0
48,1
110,1
187,0
102,1
136,0
152,0
116,0
77,1
99,-2
77,1
51,0
59,0
29,0
70,0
83,0
58,0
293,0
311,0
37,0
60,1
40,1
81,0
129,0
189,0
73,0
281,1
310,9
246,1
61,0
90,1
212,6
266,4
77,0
65,1
29,1
46,0
125,0
135,0
138,1
26,0
88,0
57,0
40,0
82,0
120,0
84,6
51,2
69,0
31,1
89,1
161,4
275,0
285,14
45,-2
54,0
92,0
105,0
40,1
154,0
77,6
29,0
51,0
89,0
149,30
74,0
63,0
90,-2
50,0
27,0
17,0
395,6
140,1
153,6
38,0
26,1
33,1
69,1
196,13
70,1
101,-4
59,17
81,13
239,0
116,6
89,1
155,0
78,1
51,0
123,8
70,0
324,1
56,0
47,1
251,21
124,1
147,-3
88,0
77,18
279,8
40,0
167,0
55,0
68,0
228,-12
93,1
67,1
38,0
131,0
37,0
69,1
36,10
155,0
27,0
89,9
66,1
72,0
61,0
62,0
120,5
116,1
45,2
67,7
163,0
278,11
54,6
72,0
113,1
29,1
53,9
217,4
56,1
34,10
99,16
55,3
54,0
65,1
72,0
128,0
128,9
60,0
109,10
47,0
44,0
166,0
49,-1
97,0
85,7
269,0
49,1
48,-2
27,0
48,0
159,19
51,0
48,1
37,1
275,10
140,11
49,0
25,3
53,0
56,1
57,1
137,2
110,1
71,12
160,0
56,0
68,12
106,12
118,0
184,18
93,1
114,0
347,12
135,1
67,1
178,16
223,-21
68,18
62,14
137,1
180,35
67,1
84,1
49,11
42,0
59,1
46,7
109,0
128,3
135,14
192,18
34,0
42,1
90,6
65,2
108,0
54,7
315,19
76,0
64,0
140,-8
50,8
82,14
40,1
129,5
62,0
70,15
120,0
133,0
85,12
29,1
28,0
53,5
86,7
79,1
35,0
317,26
38,3
332,19
95,1
60,1
18,0
56,0
32,1
146,13
70,0
25,0
92,3
72,15
69,0
56,0
57,0
132,0
166,1
41,15
109,12
150,24
315,46
53,0
155,1
303,1
125,2
107,3
50,0
25,0
77,1
29,0
44,0
51,0
52,17
39,7
101,1
233,27
109,0
84,12
28,0
77,19
220,12
54,3
419,7
19,0
42,1
144,3
37,1
80,0
153,18
58,1
39,0
27,0
69,0
94,7
47,0
83,0
43,0
52,0
217,29
161,1
102,0
38,0
72,1
51,0
64,1
27,0
36,11
71,11
39,9
311,5
39,0
111,13
149,0
68,1
179,0
111,19
110,12
91,7
67,0
69,0
87,0
11,0
108,21
77,14
74,0
34,0
68,0
41,1
88,0
55,12
36,0
72,1
126,0
99,7
70,23
95,0
100,14
65,0
174,0
89,2
74,12
24,0
90,21
128,0
89,27
84,0
105,7
334,29
60,3
35,0
43,1
68,0
128,7
51,0
55,25
85,0
59,-2
277,1
57,8
11,0
170,-1
33,0
42,0
169,24
158,-2
59,1
160,10
50,1
56,10
95,0
111,34
70,20
41,0
48,-17
40,0
72,22
70,0
112,9
121,-5
66,20
37,9
27,0
69,-5
41,5
75,0
95,8
50,6
59,16
37,0
125,12
146,10
44,0
45,21
16,0
50,19
67,9
40,0
77,27
27,0
