id,departure_airport_icao_code,arrival_airport_icao_code,scheduled_runway_departure,actual_runway_departure,scheduled_runway_arrival,actual_runway_arrival,idif_scheduled_runway_departure
306043857,KLGA,KSTL,2013-08-16 00:00:00,2013-08-16 00:07:00,2013-08-16 02:08:00,2013-08-16 02:04:00,28
306011989,KCMH,KCLT,2013-08-16 00:00:00,2013-08-16 00:06:00,2013-08-16 01:03:00,2013-08-16 01:03:00,28
306048464,KMCO,KLAS,2013-08-16 00:00:00,2013-08-16 00:04:00,2013-08-16 04:21:00,2013-08-16 04:28:00,28
306058850,KORD,KSFO,2013-08-16 00:00:00,2013-08-16 00:00:00,2013-08-16 04:00:00,2013-08-16 04:04:00,28
306054413,KMYR,KCLT,2013-08-16 00:00:00,2013-08-15 23:47:00,2013-08-16 00:34:00,2013-08-16 00:15:00,28
306049714,KMEM,KATL,2013-08-16 00:00:00,2013-08-16 00:02:00,2013-08-16 00:50:00,2013-08-16 00:54:00,28
306062724,KPHX,KLAS,2013-08-16 00:00:00,2013-08-16 01:57:00,2013-08-16 00:44:00,2013-08-16 02:48:00,28
306024070,KFLL,KATL,2013-08-16 00:00:00,2013-08-15 23:57:00,2013-08-16 01:28:00,2013-08-16 01:25:00,28
306058843,KORD,KSFO,2013-08-16 00:00:00,2013-08-16 00:07:00,2013-08-16 04:21:00,2013-08-16 04:10:00,28
306033418,KIAH,KSLC,2013-08-16 00:00:00,2013-08-16 00:00:00,2013-08-16 02:45:00,2013-08-16 02:41:00,28
306049035,KMDW,KBUF,2013-08-16 00:00:00,2013-08-16 00:10:00,2013-08-16 01:06:00,2013-08-16 01:14:00,28
306058386,KORD,KLAX,2013-08-16 00:00:00,2013-08-16 00:20:00,2013-08-16 04:24:00,2013-08-16 04:04:00,28
306011477,KCLT,KJFK,2013-08-16 00:00:00,2013-08-15 23:57:00,2013-08-16 01:15:00,2013-08-16 01:19:00,28
306017890,KDFW,KSFO,2013-08-16 00:00:00,2013-08-16 00:09:00,2013-08-16 03:25:00,2013-08-16 03:38:00,28
305997446,KATL,KCLT,2013-08-16 00:00:00,2013-08-16 00:34:00,2013-08-16 00:43:00,2013-08-16 01:12:00,28
306019913,KDTW,KAZO,2013-08-16 00:00:00,2013-08-16 00:13:00,2013-08-16 00:22:00,2013-08-16 00:37:00,28
306011214,KCLT,KCHO,2013-08-16 00:00:00,2013-08-16 00:04:00,2013-08-16 00:55:00,2013-08-16 00:57:00,28
306058102,KORD,KDFW,2013-08-16 00:00:00,2013-08-16 00:13:00,2013-08-16 02:20:00,2013-08-16 02:04:00,28
305998977,KAUS,KSJC,2013-08-16 00:00:00,2013-08-16 00:13:00,2013-08-16 03:19:00,2013-08-16 03:27:00,28
306031753,KHOU,KLAX,2013-08-16 00:00:00,2013-08-16 00:37:00,2013-08-16 02:59:00,2013-08-16 03:56:00,28
306022466,KEUG,KOAK,2013-08-16 00:00:00,2013-08-15 23:57:00,2013-08-16 01:05:00,2013-08-16 01:12:00,28
306049043,KMDW,KCAK,2013-08-16 00:00:00,2013-08-16 00:34:00,2013-08-16 00:52:00,2013-08-16 01:27:00,28
306003307,KBOI,KLAS,2013-08-16 00:00:00,2013-08-15 23:55:00,2013-08-16 01:29:00,2013-08-16 01:28:00,28
305998957,KAUS,KPHX,2013-08-16 00:00:00,2013-08-16 00:22:00,2013-08-16 02:04:00,2013-08-16 02:21:00,28
305998846,KAUS,KDAL,2013-08-16 00:00:00,2013-08-16 00:16:00,2013-08-16 00:38:00,2013-08-16 00:51:00,28
306020280,KDTW,KMKE,2013-08-16 00:00:00,2013-08-16 00:12:00,2013-08-16 00:48:00,2013-08-16 00:49:00,28
306011390,KCLT,KGSP,2013-08-16 00:00:00,2013-08-16 00:10:00,2013-08-16 00:19:00,2013-08-16 00:27:00,28
306009980,KCHS,KDCA,2013-08-16 00:00:00,2013-08-16 00:08:00,2013-08-16 01:06:00,2013-08-16 01:20:00,28
306032763,KIAD,KSFO,2013-08-16 00:00:00,2013-08-16 00:01:00,2013-08-16 05:09:00,2013-08-16 04:57:00,28
306386689,KMSN,KDTW,2013-08-16 00:00:00,2013-08-16 00:00:00,2013-08-16 00:51:00,2013-08-16 00:52:00,28
306062641,KPHX,KDTW,2013-08-16 00:00:00,2013-08-16 00:08:00,2013-08-16 03:18:00,2013-08-16 03:30:00,28
306386460,KOLF,KGTF,2013-08-16 00:00:00,2013-08-15 23:53:00,2013-08-16 01:56:00,2013-08-16 01:34:00,28
306020239,KDTW,KMCO,2013-08-16 00:00:00,2013-08-16 00:19:00,2013-08-16 02:08:00,2013-08-16 02:21:00,28
306049726,KMEM,KCLT,2013-08-16 00:00:00,2013-08-16 00:06:00,2013-08-16 01:14:00,2013-08-16 01:17:00,28
306011978,KCMH,KBWI,2013-08-16 00:00:00,2013-08-16 01:14:00,2013-08-16 00:51:00,2013-08-16 02:03:00,28
306386664,KTBR,KCAE,2013-08-16 00:00:00,2013-08-16 00:12:00,2013-08-16 00:33:00,2013-08-16 00:45:00,28
306011591,KCLT,KMKE,2013-08-16 00:00:00,2013-08-16 00:07:00,2013-08-16 01:54:00,2013-08-16 01:45:00,28
306386666,KMWH,KBFI,2013-08-16 00:00:00,2013-08-15 23:46:00,2013-08-16 00:40:00,2013-08-16 00:30:00,28
306386665,KADS,KMKC,2013-08-16 00:00:00,2013-08-16 00:42:00,2013-08-16 02:34:00,2013-08-16 03:14:00,28
306062977,KPHX,KSFO,2013-08-16 00:00:00,2013-08-16 00:02:00,2013-08-16 01:37:00,2013-08-16 01:39:00,28
306072605,KSLC,KDFW,2013-08-16 00:00:00,2013-08-16 00:09:00,2013-08-16 02:35:00,2013-08-16 02:09:00,28
306050965,KMIA,KLGA,2013-08-16 00:00:00,2013-08-16 00:19:00,2013-08-16 02:19:00,2013-08-16 02:40:00,28
306022596,KEWR,KATL,2013-08-16 00:00:00,2013-08-16 00:43:00,2013-08-16 01:55:00,2013-08-16 02:28:00,28
306015773,KDCA,KTYS,2013-08-16 00:00:00,2013-08-16 00:02:00,2013-08-16 01:09:00,2013-08-16 01:12:00,28
306020071,KDTW,KDSM,2013-08-16 00:00:00,2013-08-16 00:01:00,2013-08-16 01:18:00,2013-08-16 01:18:00,28
306020366,KDTW,KPHL,2013-08-16 00:00:00,2013-08-16 00:13:00,2013-08-16 01:05:00,2013-08-16 01:22:00,28
306027806,KGSO,KIAD,2013-08-16 00:00:00,2013-08-15 23:55:00,2013-08-16 00:52:00,2013-08-16 00:38:00,28
306020193,KDTW,KLAS,2013-08-16 00:01:00,2013-08-16 00:36:00,2013-08-16 03:52:00,2013-08-16 04:24:00,29
306053374,KMSY,KSFO,2013-08-16 00:01:00,2013-08-15 23:50:00,2013-08-16 04:09:00,2013-08-16 04:01:00,29
306034438,KIND,KDEN,2013-08-16 00:01:00,2013-08-15 23:47:00,2013-08-16 02:16:00,2013-08-16 02:12:00,29
306011570,KCLT,KMEM,2013-08-16 00:01:00,2013-08-16 00:00:00,2013-08-16 01:21:00,2013-08-16 01:18:00,29
306049769,KMEM,KIAH,2013-08-16 00:01:00,2013-08-16 00:01:00,2013-08-16 01:17:00,2013-08-16 01:22:00,29
306017054,KDFW,KABI,2013-08-16 00:01:00,2013-08-16 00:23:00,2013-08-16 00:34:00,2013-08-16 00:51:00,29
306014514,KCVG,KIAD,2013-08-16 00:01:00,2013-08-16 00:14:00,2013-08-16 01:03:00,2013-08-16 01:19:00,29
306011753,KCLT,KROA,2013-08-16 00:01:00,2013-08-16 00:00:00,2013-08-16 00:41:00,2013-08-16 00:37:00,29
306020168,KDTW,KIND,2013-08-16 00:01:00,2013-08-16 00:18:00,2013-08-16 00:40:00,2013-08-16 01:00:00,29
306063247,KPIT,KMSP,2013-08-16 00:01:00,2013-08-16 00:02:00,2013-08-16 01:40:00,2013-08-16 01:37:00,29
306048394,KMCO,KEWR,2013-08-16 00:01:00,2013-08-16 00:17:00,2013-08-16 01:58:00,2013-08-16 02:33:00,29
306064127,KPNS,KIAH,2013-08-16 00:01:00,2013-08-15 23:50:00,2013-08-16 01:15:00,2013-08-16 01:07:00,29
306003983,KBOS,KEWR,2013-08-16 00:01:00,2013-08-16 00:03:00,2013-08-16 00:57:00,2013-08-16 00:49:00,29
306070058,KSFO,KLAS,2013-08-16 00:01:00,2013-08-16 00:43:00,2013-08-16 01:15:00,2013-08-16 01:44:00,29
306290201,KRHI,KMKE,2013-08-16 00:01:00,2013-08-15 23:35:00,2013-08-16 01:09:00,2013-08-16 00:38:00,29
306023193,KEYW,KMIA,2013-08-16 00:01:00,2013-08-15 23:56:00,2013-08-16 00:47:00,2013-08-16 00:20:00,29
306015693,KDCA,KPBI,2013-08-16 00:01:00,2013-08-16 00:07:00,2013-08-16 02:19:00,2013-08-16 02:28:00,29
306011347,KCLT,KFAY,2013-08-16 00:02:00,2013-08-16 00:12:00,2013-08-16 00:26:00,2013-08-16 00:35:00,30
306078541,KTPA,KMIA,2013-08-16 00:02:00,2013-08-15 23:56:00,2013-08-16 01:10:00,2013-08-16 00:31:00,30
306032965,KIAH,KDCA,2013-08-16 00:02:00,2013-08-16 00:10:00,2013-08-16 02:30:00,2013-08-16 02:28:00,30
306032967,KIAH,KDEN,2013-08-16 00:02:00,2013-08-16 00:46:00,2013-08-16 02:02:00,2013-08-16 02:49:00,30
306023030,KEWR,KSAN,2013-08-16 00:02:00,2013-08-16 00:48:00,2013-08-16 05:15:00,2013-08-16 05:53:00,30
306074096,KSTL,KMWA,2013-08-16 00:02:00,2013-08-16 00:00:00,2013-08-16 00:39:00,2013-08-16 00:34:00,30
306003858,KBOS,KAUG,2013-08-16 00:02:00,2013-08-16 00:07:00,2013-08-16 00:52:00,2013-08-16 00:58:00,30
306012981,KCPR,KDEN,2013-08-16 00:02:00,2013-08-16 00:01:00,2013-08-16 00:49:00,2013-08-16 00:47:00,30
306011762,KCLT,KROC,2013-08-16 00:02:00,2013-08-16 00:02:00,2013-08-16 01:22:00,2013-08-16 01:18:00,30
306042573,KLAX,KSMF,2013-08-16 00:02:00,2013-08-16 00:32:00,2013-08-16 01:09:00,2013-08-16 01:28:00,30
306011222,KCLT,KCHS,2013-08-16 00:02:00,2013-08-16 00:03:00,2013-08-16 00:33:00,2013-08-16 00:38:00,30
306051345,KMKE,KDEN,2013-08-16 00:02:00,2013-08-15 23:54:00,2013-08-16 02:07:00,2013-08-16 01:57:00,30
306041777,KLAW,KDFW,2013-08-16 00:02:00,2013-08-15 23:58:00,2013-08-16 00:57:00,2013-08-16 00:25:00,30
306386483,KBJI,KGFK,2013-08-16 00:02:00,2013-08-15 23:50:00,2013-08-16 00:47:00,2013-08-16 00:26:00,30
306073087,KSMF,KSEA,2013-08-16 00:02:00,2013-08-15 23:58:00,2013-08-16 01:24:00,2013-08-16 01:18:00,30
306010929,KCLE,KPHL,2013-08-16 00:02:00,2013-08-16 00:02:00,2013-08-16 01:00:00,2013-08-16 01:03:00,30
306012060,KCMH,KMSP,2013-08-16 00:02:00,2013-08-15 23:57:00,2013-08-16 01:30:00,2013-08-16 01:22:00,30
306048998,KMDW,KATL,2013-08-16 00:02:00,2013-08-16 00:22:00,2013-08-16 01:22:00,2013-08-16 01:47:00,30
306073168,KSNA,KDFW,2013-08-16 00:02:00,2013-08-15 23:57:00,2013-08-16 02:49:00,2013-08-16 02:20:00,30
305998255,KATL,KPIT,2013-08-16 00:02:00,2013-08-16 00:04:00,2013-08-16 01:11:00,2013-08-16 01:17:00,30
306063068,KPHX,KNYL,2013-08-16 00:02:00,2013-08-15 23:55:00,2013-08-16 00:29:00,2013-08-16 00:25:00,30
306067267,KRST,KORD,2013-08-16 00:02:00,2013-08-15 23:47:00,2013-08-16 01:15:00,2013-08-16 00:32:00,30
306058689,KORD,KPHL,2013-08-16 00:03:00,2013-08-16 00:16:00,2013-08-16 01:36:00,2013-08-16 01:48:00,31
306016627,KDEN,KLGA,2013-08-16 00:03:00,2013-08-16 00:06:00,2013-08-16 03:10:00,2013-08-16 03:24:00,31
306063029,KPHX,KSNA,2013-08-16 00:03:00,2013-08-16 00:06:00,2013-08-16 00:57:00,2013-08-16 00:57:00,31
306019998,KDTW,KCLT,2013-08-16 00:03:00,2013-08-16 00:07:00,2013-08-16 01:25:00,2013-08-16 01:21:00,31
306058255,KORD,KGSP,2013-08-16 00:03:00,2013-08-16 00:06:00,2013-08-16 01:23:00,2013-08-16 01:28:00,31
306014555,KCVG,KMSP,2013-08-16 00:03:00,2013-08-16 00:01:00,2013-08-16 01:36:00,2013-08-16 01:27:00,31
305998329,KATL,KRSW,2013-08-16 00:03:00,2013-08-16 00:48:00,2013-08-16 01:18:00,2013-08-16 02:02:00,31
306033419,KIAH,KSLC,2013-08-16 00:03:00,2013-08-16 00:22:00,2013-08-16 02:44:00,2013-08-16 03:16:00,31
306062776,KPHX,KLGB,2013-08-16 00:03:00,2013-08-16 00:09:00,2013-08-16 00:53:00,2013-08-16 01:03:00,31
306011705,KCLT,KPHX,2013-08-16 00:04:00,2013-08-16 00:15:00,2013-08-16 04:00:00,2013-08-16 03:59:00,32
305998980,KAUS,KSLC,2013-08-16 00:04:00,2013-08-16 00:28:00,2013-08-16 02:38:00,2013-08-16 02:59:00,32
306290114,KELM,KROC,2013-08-16 00:04:00,2013-08-16 00:12:00,2013-08-16 00:38:00,2013-08-16 00:36:00,32
306069846,KSFO,KATL,2013-08-16 00:04:00,2013-08-16 00:05:00,2013-08-16 04:00:00,2013-08-16 04:01:00,32
306033124,KIAH,KLBB,2013-08-16 00:04:00,2013-08-16 00:12:00,2013-08-16 01:16:00,2013-08-16 01:29:00,32
306052119,KMOB,KCLT,2013-08-16 00:04:00,2013-08-15 23:56:00,2013-08-16 01:26:00,2013-08-16 01:12:00,32
306033354,KIAH,KRIC,2013-08-16 00:04:00,2013-08-16 03:06:00,2013-08-16 02:31:00,2013-08-16 05:21:00,32
306011859,KCLT,KXNA,2013-08-16 00:04:00,2013-08-16 00:03:00,2013-08-16 01:50:00,2013-08-16 01:51:00,32
306386696,KHLN,KBIL,2013-08-16 00:04:00,2013-08-16 00:12:00,2013-08-16 00:45:00,2013-08-16 00:53:00,32
306062733,KPHX,KLAS,2013-08-16 00:04:00,2013-08-16 00:22:00,2013-08-16 00:47:00,2013-08-16 01:09:00,32
306041442,KLAS,KIAH,2013-08-16 00:04:00,2013-08-16 00:05:00,2013-08-16 02:40:00,2013-08-16 02:33:00,32
306035889,KJAX,KCLT,2013-08-16 00:04:00,2013-08-16 00:02:00,2013-08-16 01:03:00,2013-08-16 00:55:00,32
305998413,KATL,KSJC,2013-08-16 00:04:00,2013-08-16 00:12:00,2013-08-16 04:43:00,2013-08-16 04:49:00,32
306067010,KRNO,KLAX,2013-08-16 00:04:00,2013-08-16 00:01:00,2013-08-16 01:28:00,2013-08-16 01:07:00,32
306042308,KLAX,KPDX,2013-08-16 00:04:00,2013-08-16 00:14:00,2013-08-16 01:52:00,2013-08-16 02:01:00,32
306386271,KSBY,KBWI,2013-08-16 00:04:00,2013-08-15 23:59:00,2013-08-16 00:41:00,2013-08-16 00:34:00,32
306062996,KPHX,KSLC,2013-08-16 00:04:00,2013-08-16 00:04:00,2013-08-16 01:13:00,2013-08-16 01:19:00,32
306043677,KLGA,KMHT,2013-08-16 00:05:00,2013-08-16 00:35:00,2013-08-16 00:47:00,2013-08-16 01:14:00,33
306386703,KIGM,KPRC,2013-08-16 00:05:00,2013-08-15 23:57:00,2013-08-16 00:26:00,2013-08-16 00:22:00,33
306062926,KPHX,KSAN,2013-08-16 00:05:00,2013-08-16 00:26:00,2013-08-16 00:54:00,2013-08-16 01:15:00,33
306005768,KBWI,KALB,2013-08-16 00:05:00,2013-08-16 00:18:00,2013-08-16 01:00:00,2013-08-16 01:08:00,33
306042276,KLAX,KORD,2013-08-16 00:05:00,2013-08-16 00:01:00,2013-08-16 03:30:00,2013-08-16 03:38:00,33
306049017,KMDW,KBHM,2013-08-16 00:05:00,2013-08-16 00:40:00,2013-08-16 01:21:00,2013-08-16 01:54:00,33
306031703,KHOU,KDCA,2013-08-16 00:05:00,2013-08-16 00:06:00,2013-08-16 02:46:00,2013-08-16 02:36:00,33
306064121,KPNS,KDFW,2013-08-16 00:05:00,2013-08-15 23:46:00,2013-08-16 02:00:00,2013-08-16 01:20:00,33
306048183,KMCI,KLGA,2013-08-16 00:05:00,2013-08-16 00:07:00,2013-08-16 02:26:00,2013-08-16 02:31:00,33
306074147,KSTL,KSDF,2013-08-16 00:05:00,2013-08-16 00:05:00,2013-08-16 00:49:00,2013-08-16 00:43:00,33
306058908,KORD,KSTL,2013-08-16 00:05:00,2013-08-15 23:50:00,2013-08-16 01:01:00,2013-08-16 00:32:00,33
306074142,KSTL,KRDU,2013-08-16 00:05:00,2013-08-16 00:28:00,2013-08-16 01:36:00,2013-08-16 01:59:00,33
306019796,KDSM,KORD,2013-08-16 00:05:00,2013-08-16 00:11:00,2013-08-16 00:54:00,2013-08-16 01:09:00,33
306068131,KSAT,KPHX,2013-08-16 00:05:00,2013-08-16 04:25:00,2013-08-16 02:02:00,2013-08-16 06:27:00,33
306046443,KLSE,KORD,2013-08-16 00:05:00,2013-08-16 00:08:00,2013-08-16 01:30:00,2013-08-16 00:47:00,33
306071946,KSJC,KLAX,2013-08-16 00:05:00,2013-08-16 00:42:00,2013-08-16 00:55:00,2013-08-16 01:33:00,33
306033304,KIAH,KORD,2013-08-16 00:05:00,2013-08-16 00:11:00,2013-08-16 02:10:00,2013-08-16 02:23:00,33
306033457,KIAH,KTYR,2013-08-16 00:05:00,2013-08-15 23:49:00,2013-08-16 00:36:00,2013-08-16 00:27:00,33
306015556,KDCA,KJAX,2013-08-16 00:05:00,2013-08-16 00:13:00,2013-08-16 01:49:00,2013-08-16 02:02:00,33
306041691,KLAS,KSFO,2013-08-16 00:05:00,2013-08-16 00:05:00,2013-08-16 01:14:00,2013-08-16 01:14:00,33
306051436,KMKE,KSTL,2013-08-16 00:05:00,2013-08-16 00:33:00,2013-08-16 00:58:00,2013-08-16 01:25:00,33
306052873,KMSP,KJFK,2013-08-16 00:05:00,2013-08-16 00:06:00,2013-08-16 02:12:00,2013-08-16 02:24:00,33
306073959,KSTL,KCMH,2013-08-16 00:05:00,2013-08-16 00:18:00,2013-08-16 01:05:00,2013-08-16 01:20:00,33
306014457,KCVG,KBOS,2013-08-16 00:05:00,2013-08-16 00:03:00,2013-08-16 01:41:00,2013-08-16 01:38:00,33
306056766,KOAK,KSEA,2013-08-16 00:05:00,2013-08-16 00:35:00,2013-08-16 01:36:00,2013-08-16 02:06:00,33
306033217,KIAH,KMFE,2013-08-16 00:05:00,2013-08-16 00:07:00,2013-08-16 00:55:00,2013-08-16 00:56:00,33
306042253,KLAX,KOAK,2013-08-16 00:05:00,2013-08-16 00:09:00,2013-08-16 00:58:00,2013-08-16 01:00:00,33
306032493,KIAD,KCLT,2013-08-16 00:05:00,2013-08-16 00:28:00,2013-08-16 00:56:00,2013-08-16 01:24:00,33
306062216,KPHL,KLGA,2013-08-16 00:05:00,2013-08-16 01:27:00,2013-08-16 00:27:00,2013-08-16 01:57:00,33
306021748,KECP,KATL,2013-08-16 00:05:00,2013-08-16 00:10:00,2013-08-16 00:50:00,2013-08-16 00:58:00,33
306074130,KSTL,KPHL,2013-08-16 00:05:00,2013-08-16 00:05:00,2013-08-16 01:53:00,2013-08-16 01:55:00,33
306016440,KDEN,KEWR,2013-08-16 00:05:00,2013-08-16 00:32:00,2013-08-16 03:10:00,2013-08-16 03:42:00,33
306022598,KEWR,KATL,2013-08-16 00:05:00,2013-08-16 00:48:00,2013-08-16 02:06:00,2013-08-16 02:39:00,33
306002320,KBNA,KATL,2013-08-16 00:05:00,2013-08-16 00:27:00,2013-08-16 00:40:00,2013-08-16 01:08:00,33
306041733,KLAS,KSMF,2013-08-16 00:05:00,2013-08-16 00:33:00,2013-08-16 01:12:00,2013-08-16 01:37:00,33
306003935,KBOS,KDCA,2013-08-16 00:05:00,2013-08-15 23:58:00,2013-08-16 01:24:00,2013-08-16 01:09:00,33
306047622,KMAF,KIAH,2013-08-16 00:05:00,2013-08-16 00:00:00,2013-08-16 01:10:00,2013-08-16 01:09:00,33
306010953,KCLE,KROC,2013-08-16 00:05:00,2013-08-16 00:03:00,2013-08-16 01:00:00,2013-08-16 00:57:00,33
306041400,KLAS,KELP,2013-08-16 00:05:00,2013-08-16 01:06:00,2013-08-16 01:24:00,2013-08-16 02:27:00,33
306024061,KFLG,KPHX,2013-08-16 00:05:00,2013-08-16 00:07:00,2013-08-16 00:38:00,2013-08-16 00:39:00,33
306037580,KJST,KIAD,2013-08-16 00:05:00,2013-08-15 23:51:00,2013-08-16 00:36:00,2013-08-16 00:30:00,33
306058245,KORD,KGRR,2013-08-16 00:05:00,2013-08-16 00:05:00,2013-08-16 00:35:00,2013-08-16 00:32:00,33
306296000,KBJI,KMSP,2013-08-16 00:05:00,2013-08-16 00:06:00,2013-08-16 00:57:00,2013-08-16 00:56:00,33
306005300,KBTR,KDFW,2013-08-16 00:05:00,2013-08-16 00:00:00,2013-08-16 01:33:00,2013-08-16 01:07:00,33
306003844,KBOS,KATL,2013-08-16 00:05:00,2013-08-16 02:05:00,2013-08-16 02:39:00,2013-08-16 04:22:00,33
306041499,KLAS,KLAX,2013-08-16 00:05:00,2013-08-16 00:31:00,2013-08-16 00:48:00,2013-08-16 01:11:00,33
306014595,KCVG,KRDU,2013-08-16 00:05:00,2013-08-16 00:00:00,2013-08-16 01:06:00,2013-08-16 01:01:00,33
306072689,KSLC,KLAX,2013-08-16 00:05:00,2013-08-16 00:13:00,2013-08-16 01:35:00,2013-08-16 01:38:00,33
306017877,KDFW,KSFO,2013-08-16 00:05:00,2013-08-16 00:04:00,2013-08-16 03:25:00,2013-08-16 03:19:00,33
306386701,KNYL,KPHX,2013-08-16 00:05:00,2013-08-16 00:34:00,2013-08-16 01:09:00,2013-08-16 01:45:00,33
306053344,KMSY,KLGA,2013-08-16 00:05:00,2013-08-16 00:13:00,2013-08-16 02:24:00,2013-08-16 02:36:00,33
306073049,KSMF,KONT,2013-08-16 00:05:00,2013-08-16 00:16:00,2013-08-16 01:07:00,2013-08-16 01:17:00,33
306011524,KCLT,KLIT,2013-08-16 00:05:00,2013-08-16 00:06:00,2013-08-16 01:35:00,2013-08-16 01:39:00,33
306062555,KPHX,KBOI,2013-08-16 00:05:00,2013-08-16 00:07:00,2013-08-16 01:46:00,2013-08-16 01:52:00,33
306011277,KCLT,KDCA,2013-08-16 00:05:00,2013-08-16 00:08:00,2013-08-16 00:59:00,2013-08-16 01:01:00,33
306015614,KDCA,KMCO,2013-08-16 00:05:00,2013-08-16 00:47:00,2013-08-16 02:02:00,2013-08-16 02:43:00,33
