id,departure_airport_icao_code,arrival_airport_icao_code,scheduled_runway_departure,actual_runway_departure,scheduled_runway_arrival,actual_runway_arrival
306043857,KLGA,KSTL,2013-08-16 00:00:00,2013-08-16 00:07:00,2013-08-16 02:08:00,2013-08-16 02:04:00
306011989,KCMH,KCLT,2013-08-16 00:00:00,2013-08-16 00:06:00,2013-08-16 01:03:00,2013-08-16 01:03:00
306048464,KMCO,KLAS,2013-08-16 00:00:00,2013-08-16 00:04:00,2013-08-16 04:21:00,2013-08-16 04:28:00
306058850,KORD,KSFO,2013-08-16 00:00:00,2013-08-16 00:00:00,2013-08-16 04:00:00,2013-08-16 04:04:00
306054413,KMYR,KCLT,2013-08-16 00:00:00,2013-08-15 23:47:00,2013-08-16 00:34:00,2013-08-16 00:15:00
306049714,KMEM,KATL,2013-08-16 00:00:00,2013-08-16 00:02:00,2013-08-16 00:50:00,2013-08-16 00:54:00
306062724,KPHX,KLAS,2013-08-16 00:00:00,2013-08-16 01:57:00,2013-08-16 00:44:00,2013-08-16 02:48:00
306024070,KFLL,KATL,2013-08-16 00:00:00,2013-08-15 23:57:00,2013-08-16 01:28:00,2013-08-16 01:25:00
306058843,KORD,KSFO,2013-08-16 00:00:00,2013-08-16 00:07:00,2013-08-16 04:21:00,2013-08-16 04:10:00
306033418,KIAH,KSLC,2013-08-16 00:00:00,2013-08-16 00:00:00,2013-08-16 02:45:00,2013-08-16 02:41:00
306049035,KMDW,KBUF,2013-08-16 00:00:00,2013-08-16 00:10:00,2013-08-16 01:06:00,2013-08-16 01:14:00
306058386,KORD,KLAX,2013-08-16 00:00:00,2013-08-16 00:20:00,2013-08-16 04:24:00,2013-08-16 04:04:00
306011477,KCLT,KJFK,2013-08-16 00:00:00,2013-08-15 23:57:00,2013-08-16 01:15:00,2013-08-16 01:19:00
306017890,KDFW,KSFO,2013-08-16 00:00:00,2013-08-16 00:09:00,2013-08-16 03:25:00,2013-08-16 03:38:00
305997446,KATL,KCLT,2013-08-16 00:00:00,2013-08-16 00:34:00,2013-08-16 00:43:00,2013-08-16 01:12:00
306019913,KDTW,KAZO,2013-08-16 00:00:00,2013-08-16 00:13:00,2013-08-16 00:22:00,2013-08-16 00:37:00
306011214,KCLT,KCHO,2013-08-16 00:00:00,2013-08-16 00:04:00,2013-08-16 00:55:00,2013-08-16 00:57:00
306058102,KORD,KDFW,2013-08-16 00:00:00,2013-08-16 00:13:00,2013-08-16 02:20:00,2013-08-16 02:04:00
305998977,KAUS,KSJC,2013-08-16 00:00:00,2013-08-16 00:13:00,2013-08-16 03:19:00,2013-08-16 03:27:00
306031753,KHOU,KLAX,2013-08-16 00:00:00,2013-08-16 00:37:00,2013-08-16 02:59:00,2013-08-16 03:56:00
306022466,KEUG,KOAK,2013-08-16 00:00:00,2013-08-15 23:57:00,2013-08-16 01:05:00,2013-08-16 01:12:00
306049043,KMDW,KCAK,2013-08-16 00:00:00,2013-08-16 00:34:00,2013-08-16 00:52:00,2013-08-16 01:27:00
306003307,KBOI,KLAS,2013-08-16 00:00:00,2013-08-15 23:55:00,2013-08-16 01:29:00,2013-08-16 01:28:00
