Airport_ICAO_Code,Airport_Name,State,Easting,Northing
KABR,Aberdeen Regional Airport,South-Dakota,3018141.67769014,2891202.70704642
KGZS,Abernathy Field,Tennessee,4262672.29557896,1408056.26512932
KABI,Abilene Regional Airport,Texas,2880153.55916514,1046676.26165743
KSPI,Abraham Lincoln Capital Airport,Illinois,3975647.08393958,2055850.78538498
KARA,Acadiana Regional Airport,Louisiana,3734077.64651469,742698.962055366
KMFV,Accomack County Airport,Virginia,5499614.41912199,1747312.39044162
KLIT,Adams Field,Arkansas,3696802.70829396,1351375.20089001
KADS,Addison Airport,Texas,3191751.35667089,1119189.99391745
KSLK,Adirondack Regional Airport,New-York,5669884.75956147,2726688.47316021
KAFO,Afton Municipal Airport,Wyoming,1647109.69769957,2473731.9522366
KAIK,Aiken Municipal Airport,South-Carolina,4850914.69913758,1208396.72329051
KANW,Ainsworth Municipal Airport,Nebraska,2846086.79206621,2454080.68694913
KILN,Airborne Airpark,Ohio,4620175.34581766,1996668.87242578
KCAK,Akron Canton Regional Airport,Ohio,4877502.4173136,2209959.02567068
KAKR,Akron Fulton International Airport,Ohio,4874797.19385119,2227567.37320528
KALM,Alamogordo White Sands Regional Airport,New-Mexico,2189272.23715639,1102403.73377559
KALB,Albany International Airport,New-York,5714180.07850073,2479262.36130273
KOAJ,Albert J Ellis Airport,North-Carolina,5296919.82835574,1364680.85624803
KAEL,Albert Lea Municipal Airport,Minnesota,3571648.10957563,2619486.20347635
KSPG,Albert Whitted Airport,Florida,4747760.30111159,458389.336524767
KFEP,Albertus Airport,Illinois,3986148.83141456,2404689.8914914
KABQ,Albuquerque International Sunport Airport,New-Mexico,2121597.37117386,1392865.04084095
KISW,Alexander Field South Wood County Airport,Wisconsin,3958006.31989267,2722858.32728512
KAEX,Alexandria International Airport,Louisiana,3661158.59039074,906910.955656417
KAGC,Allegheny County Airport,Pennsylvania,5043074.95926423,2128904.68516587
KAIA,Alliance Municipal Airport,Nebraska,2538266.1148261,2376183.20176624
KAPN,Alpena County Regional Airport,Michigan,4645558.32937297,2833481.25107857
KAOO,Altoona Blair County Airport,Pennsylvania,5219400.72322585,2120573.43012054
KAND,Anderson Regional Airport,South-Carolina,4738737.31983563,1320133.83331783
KADW,Andrews Air Force Base,Maryland,5378512.64296319,1909566.89450187
KLFK,Angelina County Airport,Texas,3420224.10368174,894943.341684008
KIKV,Ankeny Regional Airport,Iowa,3549835.05246428,2322976.66520979
KARB,Ann Arbor Municipal Airport,Michigan,4625267.48200485,2401258.44674588
KANB,Anniston Metropolitan Airport,Alabama,4393936.62225789,1200349.00685255
KANE,Anoka County-Blaine Arpt(Janes Field) Airport,Minnesota,3588709.06381441,2843862.23735555
KACB,Antrim County Airport,Michigan,4466177.28373847,2819613.34458227
KAAF,Apalachicola Regional Airport,Florida,4484892.45051417,703509.040194519
KACV,Arcata Airport,California,205249.821085352,2218947.82720093
KADM,Ardmore Municipal Airport,Oklahoma,3171686.50718076,1294707.37294792
KBYH,Arkansas International Airport,Arkansas,3946507.86699287,1517170.53847402
KGKY,Arlington Municipal Airport,Oregon,3163510.26072989,1079487.22250463
KLBE,Arnold Palmer Regional Airport,Pennsylvania,5100608.99629615,2117631.11987624
KGEV,Ashe County Airport,North-Carolina,4879966.19247184,1580691.55337057
KHBI,Asheboro Regional Airport,North-Carolina,5046962.35999846,1475338.02521147
KAVL,Asheville Regional Airport,North-Carolina,4757089.89667054,1445958.17491331
KDWU,Ashland Regional Airport,Kentucky,4735605.17568547,1873613.25418458
KHZY,Ashtabula County Airport,Ohio,4959269.84331181,2335684.88792707
KASE,Aspen-Pitkin Co/Sardy Field,Colorado,2093125.68748348,1967691.77961319
KAST,Astoria Regional Airport,Oregon,230436.47074959,3002560.8932164
KAHN,Athens Ben Epps Airport,Georgia,4671182.7602688,1247824.62110897
KACY,Atlantic City International Airport,New-Jersey,5629257.95088299,2000880.47419556
KLEW,Auburn Lewiston Municipal Airport,Maine,6099442.16354486,2675228.53827544
KAUO,Auburn Opelika Robert G. Pitts Airport,Alabama,4440378.2407401,1073141.50059682
KAGS,Augusta Regional At Bush Field,Georgia,4820307.57699562,1171688.8514395
KAUG,Augusta State Airport,Maine,6152683.60132661,2716779.85165332
KARR,Aurora Municipal Airport,Illinois,4107294.88701742,2334789.23158016
KUAO,Aurora State Airport,Oregon,351878.279653572,2859728.32503219
KAUS,Austin Bergstrom International Airport,Texas,3100478.88826116,762536.358884501
KGRB,Austin Straubel International Airport,Wisconsin,4145194.75023689,2741993.82156442
KBKE,Baker City Municipal Airport,Oregon,895135.273295375,2796217.51668584
KMLJ,Baldwin County Airport,Georgia,4680556.6350528,1143440.8128229
KBWI,Baltimore/Washington International Thurgood Marshal Airport,Maryland,5400271.39565797,1960937.06297647
KBGR,Bangor International Airport,Maine,6258816.41863582,2791601.42766778
KDLL,Baraboo Wisconsin Dells Airport,Wisconsin,3965539.67344021,2595472.68687015
KPAH,Barkley Regional Airport,Kentucky,4074650.91039401,1666570.53516703
KBAD,Barksdale Air Force Base,Louisiana,3539289.86082092,1058421.05751696
KBAF,Barnes Municipal Airport,Massachusetts,5833113.83275861,2391621.94048669
KHYA,Barnstable Municipal Boardman Polando Field,Massachusetts,6099781.3604997,2319736.57599185
KBVO,Bartlesville Municipal Airport,Oklahoma,3282115.67886149,1625716.49657531
KBOW,Bartow Municipal Airport,Florida,4840138.92019381,480472.67584664
KBTR,Baton Rouge Metropolitan Ryan Field,Louisiana,3814488.28325901,805522.158571952
KBIE,Beatrice Municipal Airport,Nebraska,3200764.31241586,2121277.24196618
KBVI,Beaver County Airport,Pennsylvania,4992570.49247249,2189172.14240543
KBST,Belfast Municipal Airport,Maine,6238689.32214746,2730382.24989788
KBLI,Bellingham International Airport,Washington,377282.98472364,3429559.48772387
KBJI,Bemidji Regional Airport,Minnesota,3400107.8683614,3218893.23159164
KVBT,Bentonville Municipal-Louise M Thaden Field,Arkansas,3478338.78642164,1568897.64225287
KBML,Berlin Regional Airport,New-Hampshire,6001719.09901131,2755865.04606485
KUDD,Bermuda Dunes Airport,California,1063116.44997832,1221427.76204951
KBTM,Bert Mooney Airport,Montana,1476828.49628917,2970495.59574392
KEKY,Bessemer Airport,Alabama,4277006.30393166,1164217.39619873
KBVY,Beverly Municipal Airport,Massachusetts,6030125.61624105,2454824.45307461
KBIF,Biggs Army Air Field (Fort Bliss),Texas,2146674.57034511,974028.909659426
KBIL,Billings Logan International Airport,Montana,1909813.797691,2947356.65171213
KBHM,Birmingham-Shuttlesworth International Airport,Alabama,4295885.22153236,1197023.83610934
KFNT,Bishop International Airport,Michigan,4625486.37285061,2511693.64140789
KBIS,Bismarck Municipal Airport,North-Dakota,2763628.43961767,3100288.56835619
