airport,easting,northing,elevation,radius,height
KABQ,2121597.3711738586,1392865.040840954,5355.0,65.1732,18000
KATL,4550529.626794338,1206726.3130655633,1026.0,65.1732,18000
KBNA,4304131.223636331,1538867.1338284742,599.0,65.1732,18000
KBOS,6020411.708208139,2422176.4550896706,20.0,65.1732,18000
KBUR,834906.8732572895,1281153.0181409484,778.0,65.1732,18000
KBWI,5400271.395657967,1960937.0629764693,146.0,65.1732,18000
KCID,3753033.426351747,2351366.235451147,869.4,65.1732,18000
KCLE,4832867.901112888,2282049.1231493475,799.4,65.1732,18000
KCLT,4932156.620028929,1416135.31712597,748.0,65.1732,18000
KCMH,4718752.251759554,2077825.3449236779,814.7,65.1732,18000
KCOS,2330534.528254789,1908864.6435163245,6187.0,65.1732,18000
KCVG,4524281.10587977,1943070.0740631334,896.0,65.1732,18000
KDAL,3190065.3959165034,1103341.9625390223,487.0,65.1732,18000
KDCA,5359820.033404998,1915372.8058901932,14.9,65.1732,18000
KDEN,2333600.6709643,2058360.89499987,5433.8,65.1732,18000
KDFW,3169675.129138322,1109822.1450396478,607.0,65.1732,18000
KDSM,3539245.5813768567,2299923.1297318274,958.0,65.1732,18000
KDTW,4668215.201978397,2399690.9636400426,645.2,65.1732,18000
KELP,2146893.461037561,968576.8833558322,3961.6,65.1732,18000
KEWR,5673991.051502816,2177611.5156549774,18.0,65.1732,18000
KFAT,686088.6708134669,1627589.1234804746,336.0,65.1732,18000
KFLL,5018709.567964174,250517.63847582042,9.0,65.1732,18000
KHOU,3362306.589013511,693160.1214506757,46.0,65.1732,18000
KIAD,5314035.086824926,1928373.9243004005,312.0,65.1732,18000
KIAH,3355462.491003606,735945.9770115255,96.4,65.1732,18000
KIND,4346159.100793739,2037782.615487148,797.0,65.1732,18000
KJFK,5716676.436265105,2170003.3409954,14.0,65.1732,18000
KLAX,829541.5446768213,1247019.442325435,125.0,65.1732,18000
KLGA,5706416.137368067,2189851.7361057103,21.0,65.1732,18000
KLGB,857574.6103268635,1230557.8879166641,60.0,65.1732,18000
KLIT,3696802.708293959,1351375.200890012,266.0,65.1732,18000
KMCI,3424177.5062179756,1978213.8453897731,1026.0,65.1732,18000
KMCO,4892088.734919498,540852.7815160877,96.0,65.1732,18000
KMDW,4186499.953427323,2336859.620791518,619.8,65.1732,18000
KMEM,3942927.08015838,1393159.4334895131,341.0,65.1732,18000
KMIA,5003608.606233294,216496.00371974334,8.5,65.1732,18000
KMKE,4170709.7361916616,2508970.5036077173,729.0,65.1732,18000
KMSP,3587570.3298239955,2803123.151282844,841.9,65.1732,18000
KMSY,3912122.7891563005,737083.9634627616,4.0,65.1732,18000
KOAK,411996.39881790004,1757606.8954891097,9.0,65.1732,18000
KOKC,3108056.5216141227,1440167.2073793197,1295.0,65.1732,18000
KONT,917912.4528092771,1262011.0825100252,944.0,65.1732,18000
KORD,4169811.614824586,2365187.7901682444,672.0,65.1732,18000
KPBI,5024962.995260723,325153.1847815267,20.0,65.1732,18000
KPDX,370712.91463455267,2913020.07787426,31.0,65.1732,18000
KPHL,5556557.785604804,2059816.2151525728,36.0,65.1732,18000
KPHX,1529938.7666514488,1180136.2580256895,1135.0,65.1732,18000
KPSP,1037710.9094464198,1232139.8006389798,477.0,65.1732,18000
KRDU,5168207.000392737,1505447.3390612062,435.0,65.1732,18000
KRSW,4843226.784899907,307148.65138352755,30.0,65.1732,18000
KSAN,962918.7492499076,1088557.4184932555,16.8,65.1732,18000
KSDF,4407307.343658913,1820527.6798976967,501.0,65.1732,18000
KSEA,402360.18899785297,3209107.2539784918,433.0,65.1732,18000
KSFO,395132.6138991644,1743454.4124698462,13.0,65.1732,18000
KSJC,443972.00646033505,1708067.9886713205,62.0,65.1732,18000
KSLC,1533662.4173491108,2191471.4819150455,4227.0,65.1732,18000
KSMF,480984.60985307663,1893362.7993110614,27.0,65.1732,18000
KSNA,888674.653348856,1211857.2483732984,56.0,65.1732,18000
KSTL,3899858.218307307,1900843.7137592053,618.0,65.1732,18000
KTPA,4758031.461472318,484452.39310102817,26.0,65.1732,18000
KTUL,3295595.8456744463,1548890.3001886364,677.5,65.1732,18000
KTUS,1647219.143144352,1008447.619013201,2643.2,65.1732,18000
KXNA,3468756.88197086,1560227.166439538,1288.0,65.1732,18000
