Aerial Time,ground_delay
117.0,7.0
57.0,6.0
264.0,4.0
244.0,0.0
28.0,-13.0
52.0,2.0
51.0,117.0
88.0,-3.0
243.0,7.0
161.0,0.0
64.0,10.0
224.0,20.0
82.0,-3.0
209.0,9.0
38.0,34.0
24.0,13.0
53.0,4.0
111.0,13.0
194.0,13.0
199.0,37.0
75.0,-3.0
53.0,34.0
93.0,-5.0
119.0,22.0
35.0,16.0
37.0,12.0
17.0,10.0
72.0,8.0
296.0,1.0
52.0,0.0
202.0,8.0
101.0,-7.0
122.0,19.0
71.0,6.0
49.0,74.0
33.0,12.0
98.0,7.0
44.0,-14.0
152.0,42.0
97.0,2.0
120.0,9.0
141.0,19.0
105.0,43.0
70.0,2.0
77.0,1.0
69.0,13.0
43.0,-5.0
228.0,35.0
251.0,-11.0
145.0,-14.0
78.0,-1.0
81.0,0.0
28.0,22.0
65.0,13.0
37.0,-1.0
42.0,17.0
95.0,1.0
136.0,16.0
77.0,-11.0
46.0,2.0
61.0,42.0
63.0,-26.0
24.0,-5.0
141.0,6.0
23.0,10.0
35.0,-6.0
138.0,8.0
123.0,44.0
305.0,46.0
34.0,-2.0
51.0,5.0
46.0,-1.0
76.0,0.0
56.0,30.0
35.0,1.0
123.0,-8.0
27.0,-4.0
36.0,-12.0
80.0,-4.0
61.0,0.0
85.0,-5.0
85.0,20.0
143.0,-5.0
73.0,2.0
30.0,-7.0
45.0,-15.0
92.0,13.0
198.0,3.0
51.0,3.0
74.0,4.0
82.0,3.0
86.0,-2.0
74.0,45.0
174.0,19.0
54.0,6.0
224.0,11.0
151.0,24.0
24.0,8.0
236.0,1.0
77.0,8.0
76.0,-8.0
135.0,182.0
108.0,-1.0
41.0,8.0
47.0,18.0
148.0,1.0
53.0,-2.0
277.0,8.0
66.0,-3.0
107.0,10.0
35.0,-5.0
75.0,0.0
39.0,30.0
25.0,-8.0
49.0,21.0
50.0,13.0
217.0,-4.0
74.0,35.0
150.0,1.0
94.0,-19.0
144.0,2.0
38.0,0.0
42.0,-15.0
91.0,23.0
58.0,6.0
122.0,260.0
39.0,3.0
51.0,37.0
132.0,6.0
38.0,-16.0
109.0,8.0
69.0,0.0
52.0,28.0
138.0,1.0
62.0,13.0
95.0,-2.0
91.0,30.0
49.0,2.0
51.0,4.0
56.0,23.0
30.0,82.0
48.0,5.0
110.0,0.0
190.0,27.0
111.0,43.0
41.0,22.0
64.0,28.0
71.0,-7.0
69.0,-5.0
54.0,-2.0
81.0,61.0
32.0,2.0
39.0,-14.0
27.0,0.0
50.0,1.0
67.0,-5.0
137.0,120.0
40.0,26.0
61.0,-5.0
85.0,8.0
195.0,-1.0
71.0,29.0
143.0,8.0
61.0,11.0
93.0,1.0
105.0,2.0
53.0,3.0
116.0,42.0
90.0,2.0
35.0,34.0
53.0,17.0
189.0,17.0
45.0,10.0
35.0,23.0
34.0,51.0
68.0,10.0
56.0,42.0
224.0,30.0
136.0,4.0
61.0,57.0
41.0,6.0
25.0,30.0
139.0,19.0
119.0,1.0
104.0,2.0
39.0,4.0
55.0,19.0
42.0,-2.0
42.0,1.0
82.0,-4.0
62.0,8.0
120.0,14.0
112.0,17.0
66.0,36.0
165.0,15.0
88.0,3.0
96.0,-13.0
279.0,-5.0
51.0,22.0
57.0,5.0
158.0,5.0
132.0,-11.0
128.0,8.0
202.0,4.0
123.0,61.0
88.0,11.0
21.0,8.0
26.0,-1.0
51.0,27.0
241.0,13.0
71.0,9.0
74.0,37.0
23.0,-7.0
268.0,20.0
36.0,-1.0
68.0,-3.0
102.0,105.0
119.0,-3.0
68.0,-8.0
38.0,28.0
80.0,20.0
56.0,2.0
106.0,-10.0
46.0,44.0
38.0,2.0
52.0,7.0
61.0,-11.0
58.0,15.0
122.0,-5.0
44.0,40.0
274.0,3.0
27.0,6.0
72.0,0.0
149.0,-2.0
80.0,60.0
53.0,15.0
48.0,0.0
25.0,-9.0
25.0,43.0
109.0,1.0
37.0,-4.0
82.0,11.0
212.0,8.0
102.0,16.0
86.0,-6.0
45.0,5.0
33.0,-14.0
69.0,-2.0
171.0,-6.0
40.0,3.0
51.0,-6.0
335.0,41.0
31.0,12.0
70.0,78.0
133.0,-2.0
33.0,0.0
63.0,31.0
134.0,0.0
50.0,7.0
61.0,-2.0
