id,departure_airport_icao_code,arrival_airport_icao_code,scheduled_runway_departure,actual_runway_departure,scheduled_runway_arrival,actual_runway_arrival,idif_actual_runway_departure,idif_actual_runway_arrival
306141890,KJST,KIAD,2013-08-17 00:05:00,2013-08-16 23:43:00,2013-08-17 00:36:00,2013-08-17 00:16:00,0,33
306105192,KBIL,KSDY,2013-08-17 00:00:00,2013-08-16 23:45:00,2013-08-17 00:53:00,2013-08-17 00:43:00,2,60
306138723,KIND,KDEN,2013-08-17 00:01:00,2013-08-16 23:46:00,2013-08-17 02:12:00,2013-08-17 01:57:00,3,134
306177214,KSLC,KDFW,2013-08-17 00:00:00,2013-08-16 23:48:00,2013-08-17 02:35:00,2013-08-17 01:51:00,5,128
306490560,KMWH,KBFI,2013-08-17 00:02:00,2013-08-16 23:48:00,2013-08-17 00:43:00,2013-08-17 00:32:00,5,49
306127426,KEYW,KMIA,2013-08-17 00:01:00,2013-08-16 23:50:00,2013-08-17 00:47:00,2013-08-17 00:14:00,7,31
306490405,KOLF,KGTF,2013-08-17 00:00:00,2013-08-16 23:51:00,2013-08-17 01:56:00,2013-08-17 01:33:00,8,110
306118655,KCVG,KIAD,2013-08-17 00:01:00,2013-08-16 23:51:00,2013-08-17 01:04:00,2013-08-17 00:53:00,8,70
306171553,KRNO,KLAX,2013-08-17 00:04:00,2013-08-16 23:52:00,2013-08-17 01:28:00,2013-08-17 00:52:00,9,69
306162697,KORD,KDFW,2013-08-17 00:00:00,2013-08-16 23:53:00,2013-08-17 02:20:00,2013-08-17 01:41:00,10,118
306490596,KIGM,KPRC,2013-08-17 00:05:00,2013-08-16 23:53:00,2013-08-17 00:26:00,2013-08-17 00:16:00,10,33
306161243,KOAJ,KCLT,2013-08-17 00:04:00,2013-08-16 23:54:00,2013-08-17 00:50:00,2013-08-17 00:37:00,11,54
306115932,KCLT,KTRI,2013-08-17 00:00:00,2013-08-16 23:55:00,2013-08-17 00:33:00,2013-08-17 00:23:00,12,40
306162983,KORD,KLAX,2013-08-17 00:00:00,2013-08-16 23:55:00,2013-08-17 04:24:00,2013-08-17 03:36:00,12,233
306116146,KCMH,KMSP,2013-08-17 00:01:00,2013-08-16 23:55:00,2013-08-17 01:28:00,2013-08-17 01:27:00,12,104
306490175,KART,KLWM,2013-08-17 00:00:00,2013-08-16 23:56:00,2013-08-17 00:42:00,2013-08-17 00:40:00,13,57
306157328,KMSP,KJFK,2013-08-17 00:05:00,2013-08-16 23:56:00,2013-08-17 02:13:00,2013-08-17 02:14:00,13,151
306154169,KMEM,KCLT,2013-08-17 00:00:00,2013-08-16 23:56:00,2013-08-17 01:14:00,2013-08-17 01:13:00,13,90
306110652,KCAK,KCLT,2013-08-17 00:06:00,2013-08-16 23:57:00,2013-08-17 01:17:00,2013-08-17 01:06:00,14,83
306117088,KCPR,KDEN,2013-08-17 00:02:00,2013-08-16 23:57:00,2013-08-17 00:49:00,2013-08-17 00:38:00,14,55
306115843,KCLT,KROA,2013-08-17 00:02:00,2013-08-16 23:57:00,2013-08-17 00:42:00,2013-08-17 00:34:00,14,51
306115569,KCLT,KJFK,2013-08-17 00:03:00,2013-08-16 23:57:00,2013-08-17 01:19:00,2013-08-17 01:15:00,14,92
