Aerial Time,Ground Holding
116,0
48,0
246,0
256,0
31,0
50,0
33,0
68,0
260,14
156,0
61,0
233,8
75,0
205,0
39,0
24,2
55,5
104,2
222,2
176,7
67,0
51,5
70,0
108,0
25,6
40,10
25,1
59,10
324,10
46,0
205,7
128,0
116,4
67,0
44,1
41,0
92,8
50,0
156,1
86,1
112,0
132,2
97,0
64,0
84,1
64,1
43,0
237,21
227,7
134,17
74,4
70,1
26,5
60,0
43,8
37,1
100,10
113,7
69,0
33,0
48,0
73,0
22,0
115,2
22,2
32,0
128,0
116,1
327,6
15,0
23,1
41,0
76,30
52,0
28,1
123,3
24,0
45,0
77,0
62,0
87,1
76,6
129,0
64,6
33,6
42,0
98,24
199,0
50,1
65,0
75,14
85,13
58,4
165,13
57,12
211,1
140,6
34,0
232,7
65,1
73,0
124,8
102,1
46,0
39,6
132,0
46,0
267,11
59,0
102,9
42,0
65,4
39,5
22,6
41,3
41,2
221,0
70,1
136,14
81,0
138,0
37,3
40,6
91,21
50,0
107,14
41,17
42,0
117,1
31,7
88,5
56,3
47,15
133,0
59,14
91,4
99,13
48,5
47,1
44,10
21,1
41,0
115,12
229,0
107,6
39,0
54,11
60,4
60,0
55,1
75,2
22,0
34,0
30,7
58,3
50,16
109,9
31,0
56,2
79,0
189,39
57,0
131,7
52,0
93,13
98,1
46,1
100,1
83,6
28,9
48,2
181,8
44,10
45,0
25,15
60,0
45,3
204,0
137,24
56,1
38,3
28,0
164,11
113,15
89,0
39,7
50,5
35,0
41,14
71,1
56,1
107,1
114,4
57,16
155,2
77,1
94,1
291,38
52,2
55,1
152,12
147,1
111,1
185,1
111,5
71,10
24,1
23,0
44,9
283,1
72,5
66,4
30,0
266,9
32,3
58,8
99,0
108,6
69,10
35,7
75,14
54,4
90,6
45,9
34,11
52,0
63,0
52,10
117,44
42,8
267,4
21,0
58,0
122,13
77,1
47,0
50,1
15,0
27,1
79,1
33,6
84,1
192,15
90,0
70,0
37,0
23,0
64,0
184,14
48,1
45,0
348,20
16,0
35,4
121,6
34,1
67,0
128,12
43,0
44,19
25,0
21,0
60,11
57,22
47,0
47,0
110,5
139,16
37,0
91,0
65,6
128,3
263,11
44,0
128,5
254,1
104,7
91,1
46,0
