74 KACV 205249.821085352 2218947.82720093,408 KASE 2093125.68748348 1967691.77961319,240,450
132 KUDD 1063116.44997832 1221427.76204951,422 KBKF 2324949.46997206 2035561.72331185,240,450
133 KBLH 1233725.9876464 1204425.07290156,422 KAPA 2314327.4184248 2016849.06093727,240,450
23 KBUR 834906.87325729 1281153.01814095,427 KCOS 2330534.52825479 1908864.64351632,240,450
25 KSDM 985914.819598616 1067578.44666736,199 KCEZ 1900505.92413959 1699860.22989856,240,455
30 KCCR 429955.47336155 1794832.12212896,199 KCEZ 1900505.92413959 1699860.22989856,245,455
46 KCMA 754420.20932232 1282874.43147468,199 KCEZ 1900505.92413959 1699860.22989856,245,455
21 KNFG 944850.224519886 1162697.40270791,193 KDRO 1996213.85618829 1679024.63444749,250,455
21 KNFG 944850.224519886 1162697.40270791,428 KITR 2595099.20038041 1970420.08913086,250,455
21 KNFG 944850.224519886 1162697.40270791,351 KLHX 2461064.48280382 1803172.42888231,250,460
23 KEMT 870386.405300751 1265990.48520774,422 KDEN 2333600.6709643 2058360.89499987,250,470
8 KFAT 686088.670813467 1627589.12348047,422 KDEN 2333600.6709643 2058360.89499987,245,500
8 KFAT 686088.670813467 1627589.12348047,422 KDEN 2333600.6709643 2058360.89499987,245,500
8 KFAT 686088.670813467 1627589.12348047,422 KDEN 2333600.6709643 2058360.89499987,245,500
8 KFAT 686088.670813467 1627589.12348047,422 KDEN 2333600.6709643 2058360.89499987,245,500
8 KFAT 686088.670813467 1627589.12348047,422 KDEN 2333600.6709643 2058360.89499987,245,500
36 KDVO 375312.131682845 1816238.27324014,193 KDRO 1996213.85618829 1679024.63444749,253,440
36 KDVO 375312.131682845 1816238.27324014,193 KDRO 1996213.85618829 1679024.63444749,253,440
36 KDVO 375312.131682845 1816238.27324014,193 KDRO 1996213.85618829 1679024.63444749,253,440
36 KDVO 375312.131682845 1816238.27324014,193 KDRO 1996213.85618829 1679024.63444749,253,440
36 KDVO 375312.131682845 1816238.27324014,193 KDRO 1996213.85618829 1679024.63444749,253,440
