Aerial Time,Ground Holding
117,0
45,0
60,1
35,0
90,0
104,1
51,1
40,0
56,0
97,0
25,1
51,0
52,3
87,1
74,2
67,0
120,1
74,0
74,0
250,1
69,1
128,3
220,4
55,0
67,0
123,0
23,0
57,0
53,5
199,0
109,1
79,0
68,9
127,1
121,18
73,2
99,0
113,1
67,0
47,1
26,0
107,0
39,8
78,15
48,8
110,0
20,1
57,10
41,0
25,0
313,1
232,1
96,14
48,10
17,1
62,2
136,0
56,0
46,0
35,2
55,0
104,0
94,9
110,7
65,1
25,0
138,0
111,3
108,1
71,0
71,5
21,4
262,8
25,11
21,1
115,0
47,0
58,16
65,5
260,4
36,1
42,4
63,3
151,2
58,2
85,9
78,0
81,0
54,0
83,15
133,12
21,0
94,1
209,14
147,0
81,1
38,1
94,4
196,8
135,7
54,6
51,0
43,13
34,0
43,0
45,0
243,23
103,1
52,8
48,1
123,1
43,9
40,0
39,0
48,0
231,0
185,9
37,2
23,0
27,1
78,0
29,4
107,2
54,7
39,6
137,1
122,1
244,0
127,5
51,4
45,0
81,17
106,7
28,5
32,6
42,8
76,10
83,2
45,16
116,12
278,7
89,5
145,19
108,6
37,2
39,9
175,31
28,2
205,0
132,6
116,3
41,0
137,6
140,28
40,0
108,1
62,10
44,0
184,18
12,0
24,1
24,7
32,2
106,0
118,14
109,13
175,0
48,4
61,0
34,0
60,0
36,0
59,0
50,0
51,0
31,1
49,0
70,5
37,0
47,6
15,12
67,9
91,9
56,0
38,0
73,13
44,0
77,2
23,1
73,10
105,10
257,1
123,25
25,0
288,1
29,0
178,42
44,16
80,0
25,0
119,1
88,0
60,17
219,25
40,0
57,4
22,0
64,0
39,8
225,7
45,5
67,1
49,0
53,3
37,1
28,0
74,1
122,3
34,15
60,2
18,0
26,3
122,16
119,4
36,0
40,7
78,3
49,0
105,0
19,0
43,8
66,0
26,0
40,1
47,10
64,8
69,4
81,20
51,15
91,2
119,12
42,5
90,5
71,10
54,0
56,0
46,10
49,7
77,1
72,4
106,2
233,3
97,3
72,8
92,6
47,1
60,7
99,0
85,0
357,16
38,0
151,10
62,0
29,4
53,2
181,16
24,4
49,9
35,0
51,13
135,24
31,5
128,17
37,23
274,0
96,0
38,6
28,1
12,3
64,6
55,5
28,4
14,1
34,0
100,12
48,4
69,4
43,7
132,4
231,17
124,0
282,21
43,26
65,1
148,2
42,11
59,2
138,5
63,0
32,5
108,2
73,1
53,5
40,1
78,0
46,1
23,5
71,3
120,12
38,2
37,7
268,9
56,0
37,0
20,0
32,0
37,8
108,1
42,22
67,14
95,16
43,1
69,6
79,0
52,8
29,4
92,1
72,0
18,4
235,4
31,1
87,4
81,1
178,20
106,27
93,11
71,1
87,23
54,8
69,4
85,13
55,10
130,1
99,6
118,4
51,17
117,2
112,15
66,2
63,3
104,33
39,7
24,0
102,6
38,1
103,3
74,2
61,20
101,5
48,12
56,11
55,0
43,0
58,9
61,22
36,7
110,34
35,9
37,1
49,16
52,1
331,53
98,3
104,1
34,1
54,4
56,0
120,23
103,1
113,16
63,0
62,0
62,1
51,1
57,4
79,4
47,12
51,14
35,6
59,1
100,15
146,9
77,27
45,10
128,11
77,8
58,5
130,2
119,44
97,12
82,8
142,24
101,3
72,2
39,0
43,9
34,0
150,0
169,5
49,1
78,17
67,31
59,12
69,1
48,3
138,1
71,2
61,9
125,18
19,7
44,13
77,3
58,33
124,24
245,25
147,1
58,2
64,2
125,7
56,1
56,4
114,8
74,15
73,5
134,26
132,9
54,1
40,0
58,11
155,25
132,39
86,4
54,15
96,1
87,6
25,1
86,38
86,9
140,0
31,1
248,1
112,14
55,22
50,17
103,2
32,3
44,8
39,0
107,6
74,5
36,1
40,7
100,6
60,0
144,31
76,4
59,3
80,0
44,1
81,2
157,8
46,5
25,0
138,0
43,13
140,3
37,2
60,8
251,17
108,3
28,17
86,6
101,1
123,13
123,5
74,1
47,6
39,0
17,2
52,11
40,0
83,22
134,2
145,21
50,22
43,27
84,0
60,2
126,1
122,1
56,45
126,6
116,0
132,6
123,8
67,11
130,17
334,10
61,1
209,1
110,2
15,6
49,0
384,1
50,9
44,38
39,23
31,0
244,27
22,0
106,5
91,7
120,2
38,1
94,10
115,12
33,16
31,19
113,0
283,22
30,0
