Aerial Time,Ground Holding
141,0
29,0
391,0
55,0
278,0
153,0
141,0
81,0
53,0
50,0
48,1
110,1
187,0
102,1
135,0
152,0
116,0
77,1
99,1
77,1
51,0
59,0
29,0
70,0
83,0
58,0
295,0
314,0
37,0
60,1
40,1
81,0
129,0
187,0
73,0
278,11
312,1
248,1
61,0
90,1
211,5
266,5
77,0
65,1
29,1
46,0
124,0
137,0
138,1
26,0
88,0
57,0
40,0
82,0
121,0
84,6
51,2
69,0
31,1
89,1
161,5
277,0
283,17
45,1
54,0
92,0
104,0
40,1
154,0
77,2
29,0
51,0
91,0
147,8
74,0
63,0
90,1
50,0
27,0
17,0
386,14
140,1
155,8
38,0
26,1
33,1
69,1
197,11
70,1
101,0
59,17
78,13
247,0
117,1
89,1
156,0
78,1
51,0
124,12
70,0
322,1
56,0
47,1
77,17
122,3
148,16
88,0
276,6
40,0
167,0
254,21
55,0
68,0
226,15
93,0
67,1
38,0
131,0
37,0
69,1
36,10
157,3
89,9
66,1
72,0
60,0
62,0
121,5
116,1
45,2
67,7
161,0
246,11
54,1
72,0
29,2
54,0
53,10
220,3
56,1
34,10
99,1
72,0
55,3
112,10
65,1
27,0
128,3
128,8
60,0
109,0
48,2
44,4
165,0
49,14
97,0
85,3
264,0
49,1
48,1
27,0
48,0
47,0
51,0
160,21
37,1
140,1
273,10
139,15
49,0
53,0
56,1
57,1
25,0
109,17
71,7
161,0
56,3
68,10
106,12
118,0
128,1
361,14
113,0
93,1
185,38
68,17
137,6
67,1
194,1
49,12
42,0
59,1
46,13
108,0
136,16
34,0
62,17
84,1
67,1
