Aerial Time,Ground Holding
140,0
29,0
395,0
55,0
242,8
153,0
139,7
81,0
53,0
50,0
48,0
110,1
187,27
102,0
135,4
152,0
116,0
77,1
100,23
77,1
51,0
59,0
29,10
70,0
84,0
58,0
293,0
315,0
37,0
60,8
40,1
81,1
129,0
186,0
74,0
281,16
327,1
248,5
61,7
90,2
212,5
267,9
80,0
65,2
29,1
46,0
125,1
135,7
138,1
26,0
88,0
57,0
40,0
82,0
121,10
161,0
51,7
72,0
31,1
84,0
89,4
45,1
272,18
281,1
92,0
74,0
105,1
40,6
155,0
77,6
29,0
51,0
92,10
149,6
54,0
63,0
90,1
50,0
27,1
17,0
380,1
140,4
153,8
38,0
26,8
33,1
69,1
196,13
70,1
101,1
239,8
78,0
59,18
116,12
89,1
276,10
256,1
168,0
40,0
77,1
